Compound_ID,Name,SMILES,InChIKey,Formula,Extract,Relative_Abundance,Class
B01,Dihydroferulic acid 4-sulfate,COc1cc(CCC(=O)O)ccc1OS(=O)(=O)O,UMCDODPBPQMWQP-UHFFFAOYSA-N,C10H12O7S,EMB,"B01: EMB=3.5%, EVB=no detectado",PC
B02,Quinic acid,O=C(O)C1(O)C[C@@H](O)C(O)[C@H](O)C1,AAWZDTNXLSGCEK-LNVDRNJUSA-N,C7H12O6,EMB;EVB,"B02: EMB=6.3%, EVB=7.4%",PC
B03,Pyrocatechol,Oc1ccccc1O,YCIMNLLNPGFGHC-UHFFFAOYSA-N,C6H6O2,EVB,"B03: EMB=no detectado, EVB=13.6%",PC
B04,Chlorogenic acid,O=C(/C=C/c1ccc(O)c(O)c1)O[C@@H]1C[C@](O)(C(=O)O)C[C@@H](O)[C@H]1O,CWVRJTMFETXNAD-JUHZACGLSA-N,C16H18O9,EMB;EVB,"B04: EMB=10.1%, EVB=0.5%; B07: EMB=2.8%, EVB=20.4%; B08: EMB=27.7%, EVB=4.3%",PC
B05,4-Hydroxybenzoic acid,O=C(O)c1ccc(O)cc1,FJKROLUGYXJWQN-UHFFFAOYSA-N,C7H6O3,EMB;EVB,"B05: EMB=1.5%, EVB=18.5%",PC
B06,p-Coumaroylquinic acid,O=C(/C=C/c1ccc(O)cc1)O[C@H]1C[C@@](O)(C(=O)O)C[C@H](O)[C@@H]1O,BMRSEYFENKXDIS-LUTKEZBSSA-N,C16H18O8,EMB;EVB,"B06: EMB=0.2%, EVB=21.5%; B15: EMB=1.3%, EVB=7.7%",PC
B09,Vanillin,COc1cc(C=O)ccc1O,MWOOGOJBHIARFG-UHFFFAOYSA-N,C8H8O3,EVB,"B09: EMB=no detectado, EVB=0.7%",PC
B10,Feruloylquinic acid,COc1cc(C=CC(=O)O[C@@H]2C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]2O)ccc1O,RAGZUCNPTLULOL-JSHWQEIDSA-N,C17H20O9,EMB;EVB,"B10: EMB=1.4%, EVB=32.5%; B16: EMB=10.6%, EVB=no detectado",PC
B11,Vanillic acid,COc1cc(C(=O)O)ccc1O,WKOLLVMJNQIZCI-UHFFFAOYSA-N,C8H8O4,EVB,"B11: EMB=no detectado, EVB=2.4%",PC
B12,Caffeic acid,O=C(O)/C=C/c1ccc(O)c(O)c1,QAIPRVGONGVQAS-DUXPYHPUSA-N,C9H8O4,EMB;EVB,"B12: EMB=10.4%, EVB=9.3%",PC
B13,4-Hydroxybenzaldehyde,O=Cc1ccc(O)cc1,RGHHSNMVTDWUBI-UHFFFAOYSA-N,C7H6O2,EMB;EVB,"B13: EMB=4.9%, EVB=15.9%",PC
B14,"2,4-Dihydroxybenzoic acid",O=C(O)c1ccc(O)cc1O,UIAFKZKHHVMJGS-UHFFFAOYSA-N,C7H6O4,EMB;EVB,"B14: EMB=5.2%, EVB=12.1%",PC
B17,p-Coumaric acid,O=C(O)/C=C/c1ccc(O)cc1,NGSWKAQJJWESNS-ZZXKWVIFSA-N,C9H8O3,EMB;EVB,"B17: EMB=19.8%, EVB=24.1%",PC
B18,Schaftoside,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3OC[C@H](O)[C@H](O)[C@H]3O)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,MMDUKUSNQNWVET-VYUBKLCTSA-N,C26H28O14,EMB;EVB,"B18: EMB=8.4%, EVB=27.0%",PC
B19,Vicenin-2,O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12,FIAAVMJLAGNUKW-VQVVXJKKSA-N,C27H30O15,EMB,"B19: EMB=4.4%, EVB=no detectado",PC
B20,"3,4-Dihydroxybenzaldehyde",O=Cc1ccc(O)c(O)c1,IBGBGRVKPALMCQ-UHFFFAOYSA-N,C7H6O3,EMB;EVB,"B20: EMB=9.6%, EVB=7.9%",PC
B21,Methoxyluteolin-8-C-glucoside,COc1cc(-c2cc(=O)c3c(O)cc(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c3o2)ccc1O,YXHFXGHAELQJGK-PGPONNFDSA-N,C22H22O11,EMB;EVB,"B21: EMB=20.9%, EVB=6.1%",PC
B22,Ferulic acid,COc1cc(/C=C/C(=O)O)ccc1O,KSEBMYQBYZTDHS-HWKANZROSA-N,C10H10O4,EVB,"B22: EMB=no detectado, EVB=15.8%",PC
A03,"4-Hydroxy-2,5-dimethyl-3(2H)-furanone",CC1=C(O)C(=O)C(C)O1,INAXVXBDKKUCGI-UHFFFAOYSA-N,C6H8O3,EVA,"A03: EMA=no detectado, EVA=1.42%",HIC
A05,"3-Methylcyclopentane-1,2,4-trione",CC1C(=O)CC(=O)C1=O,FUWXZDKUAHOVLL-UHFFFAOYSA-N,C6H6O3,EMA,"A05: EMA=16.16%, EVA=no detectado",HIC
A06,Glycerol,OCC(O)CO,PEDCQBHIVMGVHV-UHFFFAOYSA-N,C3H8O3,EMA,"A06: EMA=7.5%, EVA=no detectado",HIC
A07,"2,3-Dihydro-3,5-dihydroxy-6-methyl-4H-pyran-4-one",CC1=C(O)C(=O)C(O)CO1,VOLMSPGWNYJHQQ-UHFFFAOYSA-N,C6H8O4,EMA;EVA,"A07: EMA=22.94%, EVA=7.6%",HIC
A09,2-Methoxy-4-vinylphenol,C=Cc1ccc(O)c(OC)c1,YOMSJEATGXXYPX-UHFFFAOYSA-N,C9H10O2,EVA,"A09: EMA=no detectado, EVA=4.15%",HIC
A10,4-Methylcatechol,Cc1ccc(O)c(O)c1,ZBCATMYQYDCTIZ-UHFFFAOYSA-N,C7H8O2,EMA,"A10: EMA=2.61%, EVA=no detectado",HIC
A13,"2,6-Dimethoxyphenol",COc1cccc(OC)c1O,KLIDCXVFHGNTTM-UHFFFAOYSA-N,C8H10O3,EVA,"A13: EMA=no detectado, EVA=5.78%",HIC
A15,Pyrogallol,Oc1cccc(O)c1O,WQGWDDDVZFFDIG-UHFFFAOYSA-N,C6H6O3,EMA,"A15: EMA=3.74%, EVA=no detectado",HIC
A17,"2,4-Di-tert-butylphenol",CC(C)(C)c1ccc(O)c(C(C)(C)C)c1,ICKWICRCANNIBI-UHFFFAOYSA-N,C14H22O,EVA,"A17: EMA=no detectado, EVA=3.15%",HIC
A18,Levoglucosan,O[C@@H]1[C@@H](O)[C@@H]2OC[C@@H](O2)[C@H]1O,TWNIBLMWSKIRAT-VFUOTHLCSA-N,C6H10O5,EVA,"A18: EMA=no detectado, EVA=5.79%",HIC
A19,4-Butyl-2-methoxyphenol,CCCCc1ccc(O)c(OC)c1,JELKTTPLDWFYNC-UHFFFAOYSA-N,C11H16O2,EVA,"A19: EMA=no detectado, EVA=3.32%",HIC
A22,1-Hydroxycyclohexyl phenyl ketone,O=C(c1ccccc1)C1(O)CCCCC1,QNODIIQQMGDSEF-UHFFFAOYSA-N,C13H16O2,EMA;EVA,"A22: EMA=3.08%, EVA=3.91%",HIC
A23,Myristic acid,CCCCCCCCCCCCCC(=O)O,TUNFSRHWOTWDNC-UHFFFAOYSA-N,C14H28O2,EMA,"A23: EMA=2.7%, EVA=no detectado",HIC
A24,Palmitic acid,CCCCCCCCCCCCCCCC(=O)O,IPCSVZSSVZVIGE-UHFFFAOYSA-N,C16H32O2,EMA;EVA,"A24: EMA=2.4%, EVA=5.07%",HIC
A25,"3-(3,5-Di-tert-butyl-4-hydroxyphenyl)propionic acid",CC(C)(C)c1cc(CCC(=O)O)cc(C(C)(C)C)c1O,WPMYUUITDBHVQZ-UHFFFAOYSA-N,C17H26O3,EMA;EVA,"A25: EMA=2.58%, EVA=3.54%",HIC
A26,Vaccenic acid,CCCCCC/C=C/CCCCCCCCCC(=O)O,UWHZIFQPPBDJPM-BQYQJAHWSA-N,C18H34O2,EVA,"A26: EMA=no detectado, EVA=11.26%",HIC
A27,Stearic acid,CCCCCCCCCCCCCCCCCC(=O)O,QIQXTHQIDYTFRH-UHFFFAOYSA-N,C18H36O2,EMA,"A27: EMA=2.2%, EVA=no detectado",HIC
A28,Arachidic acid,CCCCCCCCCCCCCCCCCCCC(=O)O,VKOBVWXKNCXXDE-UHFFFAOYSA-N,C20H40O2,EMA,"A28: EMA=2.68%, EVA=no detectado",HIC
A29,"3,4-Dimethoxyphenol",COc1ccc(O)cc1OC,SMFFZOQLHYIRDA-UHFFFAOYSA-N,C8H10O3,EVA,"A29: EMA=no detectado, EVA=6.73%",HIC
