Compound_ID,Molecule_ChEMBL_ID_Extracto,Nombre_Extracto,Motivo_Exclusion,Ensayo_ChEMBL_ID,Referencia_Bibliografica
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL749522,J Med Chem (1998) [CHEMBL1131595]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL816131,Bioorg Med Chem Lett (2004) [CHEMBL1146683]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL883943,J Med Chem (2005) [CHEMBL1141112]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL870631,J Med Chem (2006) [CHEMBL1147741]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL898096,Bioorg Med Chem Lett (2007) [CHEMBL1149578]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL947693,J Nat Prod (1987) [CHEMBL1150175]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL944600,J Nat Prod (1987) [CHEMBL1150175]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL944599,J Nat Prod (1987) [CHEMBL1150175]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL944598,J Nat Prod (1987) [CHEMBL1150175]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL944597,J Nat Prod (1987) [CHEMBL1150175]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL944596,J Nat Prod (1987) [CHEMBL1150175]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL944590,J Nat Prod (1987) [CHEMBL1150175]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL944591,J Nat Prod (1987) [CHEMBL1150175]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL998743,Bioorg Med Chem (2008) [CHEMBL1156587]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1032505,J Nat Prod (2001) [CHEMBL1137802]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1014036,J Nat Prod (2002) [CHEMBL1150665]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL977607,J Nat Prod (2006) [CHEMBL1157317]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL975702,J Nat Prod (1999) [CHEMBL1157280]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL975703,J Nat Prod (1999) [CHEMBL1157280]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL975706,J Nat Prod (1999) [CHEMBL1157280]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL975707,J Nat Prod (1999) [CHEMBL1157280]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL975728,J Nat Prod (1999) [CHEMBL1141813]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL975731,J Nat Prod (1999) [CHEMBL1141813]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1048218,Bioorg Med Chem Lett (2009) [CHEMBL1155970]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1101973,J Nat Prod (2010) [CHEMBL1154898]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1175037,Eur J Med Chem (2010) [CHEMBL1177887]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1175038,Eur J Med Chem (2010) [CHEMBL1177887]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1175039,Eur J Med Chem (2010) [CHEMBL1177887]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1175040,Eur J Med Chem (2010) [CHEMBL1177887]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1175042,Eur J Med Chem (2010) [CHEMBL1177887]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1175043,Eur J Med Chem (2010) [CHEMBL1177887]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1220444,Nat Chem Biol (2009) [CHEMBL1212713]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1266185,Nat Chem Biol (2007) [CHEMBL1255231]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1825504,J Med Chem (2011) [CHEMBL1821718]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1825870,Bioorg Med Chem Lett (2011) [CHEMBL1821592]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL1918617,Bioorg Med Chem Lett (2011) [CHEMBL1914303]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2045322,Eur J Med Chem (2011) [CHEMBL2040752]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2045323,Eur J Med Chem (2011) [CHEMBL2040752]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2148592,Bioorg Med Chem (2012) [CHEMBL2146368]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2156060,Bioorg Med Chem Lett (2012) [CHEMBL2150930]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2209396,Bioorg Med Chem (2012) [CHEMBL2202983]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2216502,Bioorg Med Chem (2012) [CHEMBL2202983]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2216503,Bioorg Med Chem (2012) [CHEMBL2202983]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2209387,Bioorg Med Chem (2012) [CHEMBL2202983]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2209392,Bioorg Med Chem (2012) [CHEMBL2202983]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2210784,J Med Chem (2012) [CHEMBL2203072]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2210373,J Med Chem (2012) [CHEMBL2203072]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2210374,J Med Chem (2012) [CHEMBL2203072]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2210783,J Med Chem (2012) [CHEMBL2203072]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL2210791,J Med Chem (2012) [CHEMBL2203072]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3047857,J Agric Food Chem (2012) [CHEMBL3046303]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3049751,J Agric Food Chem (2012) [CHEMBL3046008]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3047386,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3047387,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3047388,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3047389,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3047390,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3049096,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3049097,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3049098,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3052679,Med Chem Res (2011) [CHEMBL3045051]
B12,CHEMBL145,Caffeic acid,standard_value es nulo (sin valor cuantitativo),CHEMBL3052680,Med Chem Res (2011) [CHEMBL3045051]
