Compound_ID,InChIKey,Name,Molecule_ChEMBL_ID,Nivel_Modelo,Modelo_Detalle,Especie,Tejido_Organo,Tipo_Ensayo,Categoria_Endpoint,Endpoint_Original,Efecto_Magnitud,Efecto_Unidad,Es_Puro,Tipo_Efecto_Direccion,Concentracion_Dosis,Tiempo_Exposicion,Target_Conocido,Mecanismo_Propuesto,Ensayo_ChEMBL_ID,Referencia_Bibliografica,Metodo_Obtencion,Efecto_pX,Efecto_Magnitud_Numerico
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Epidermal growth factor receptor,Homo sapiens,,B — Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,Señalización / expresión génica,IC50,1200000.0,nM,True,,,,Epidermal growth factor receptor,,CHEMBL674643,J Med Chem (1989) [CHEMBL1124610],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",2.9208187539523753,1200000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Epidermal growth factor receptor,Homo sapiens,,B — Inhibitory concentration of EGF dependent autophosphorylation of epidermal growth factor receptor kinase,Señalización / expresión génica,Ki,400000.0,nM,True,,,,Epidermal growth factor receptor,,CHEMBL675636,J Med Chem (1989) [CHEMBL1124610],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",3.3979400086720375,400000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,ORGANISM,Plasmodium falciparum,Plasmodium falciparum,,F — In vitro antimalarial activity against Plasmodium falciparum,Actividad antimicrobiana/antiparasitaria,IC50,122000.0,nM,True,,,,,,CHEMBL760652,J Med Chem (1995) [CHEMBL1128412],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",3.9136401693252516,122000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,F — Evaluated for the antioxidant property by measuring the inhibition of microsomal lipid peroxidation,Antioxidante (radical/peroxidación),IC50,3300.0,nM,True,,,,,,CHEMBL729215,Bioorg Med Chem Lett (2001) [CHEMBL1134424],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",5.481486060122113,3300.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,B — Compound was evaluated for hydroxyl radical (OH) scavenging activity,Antioxidante (radical/peroxidación),IC50,500.0,nM,True,,,,,,CHEMBL844000,Bioorg Med Chem Lett (1996) [CHEMBL1128977],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",6.301029995663981,500.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,UNCHECKED,Unchecked,,,B — Superoxide anion (O2-) scavenging activity,Antioxidante (radical/peroxidación),IC50,95000.0,nM,True,,,,,,CHEMBL844002,Bioorg Med Chem Lett (1996) [CHEMBL1128977],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",4.022276394711152,95000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Xanthine dehydrogenase/oxidase,Homo sapiens,,B — Compound was evaluated for inhibition of xanthine oxidase,Actividad enzimática / inhibición de proteína específica,Inhibition,18.0,%,True,,,,Xanthine dehydrogenase/oxidase,,CHEMBL845695,Bioorg Med Chem Lett (1996) [CHEMBL1128977],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,18.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens,,B — Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte at 30 uM,Actividad enzimática / inhibición de proteína específica,Inhibition,22.7,%,True,,,,Polyunsaturated fatty acid 5-lipoxygenase,,CHEMBL618107,J Med Chem (1989) [CHEMBL1124415],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,22.7
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Polyunsaturated fatty acid 5-lipoxygenase,Homo sapiens,,B — Inhibitory activity against 5-lipoxygenase in guinea pig leukocyte,Actividad enzimática / inhibición de proteína específica,IC50,16700.0,nM,True,,,,Polyunsaturated fatty acid 5-lipoxygenase,,CHEMBL618101,J Med Chem (1989) [CHEMBL1124415],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",4.777283528852417,16700.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,SINGLE PROTEIN,Polyunsaturated fatty acid 5-lipoxygenase,Rattus norvegicus,,B — In vitro inhibition against 5-lipoxygenase in RBL-1 cells was determined,Actividad enzimática / inhibición de proteína específica,IC50,43000.0,nM,True,,,,Polyunsaturated fatty acid 5-lipoxygenase,,CHEMBL619924,J Med Chem (1993) [CHEMBL1127082],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",4.366531544420414,43000.0
B12,QAIPRVGONGVQAS-DUXPYHPUSA-N,Caffeic acid,CHEMBL145,PROTEIN FAMILY,Cyclooxygenase,Homo sapiens,,B — Inhibition of cyclooxygenase activity in sheep seminal vesicle was determined at 10E-4 M,Actividad enzimática / inhibición de proteína específica,Inhibition,16.0,%,True,,,,,,CHEMBL763078,J Med Chem (1993) [CHEMBL1127082],"Automático (ChEMBL API) — campos manuales pendientes: Tipo_Efecto_Direccion, Concentracion_Dosis, Tiempo_Exposicion, Mecanismo_Propuesto",,16.0
