Compound_ID,Retention_time_min,Tentative_identification,Molecular_formula,Monoisotopic_mass,Relative_abundance_EMB,Relative_abundance_EVB
B01,1.979,Dihydroferulic acid 4-sulfate,C10H12O7S,276.0304,3.5,
B02,2.048,Quinic acid,C7H12O6,192.0634,6.3,7.4
B03,2.529,Pyrocatechol,C6H6O2,110.0368,,13.6
B04,2.943,Chlorogenic acid isomer I,C16H18O9,354.0951,10.1,0.5
B05,3.271,4-Hydroxybenzoic acid,C7H6O3,138.0317,1.5,18.5
B06,3.437,Coumaroylquinic acid isomer I,C16H18O8,338.1002,0.2,21.5
B07,3.649,Chlorogenic acid isomer II,C16H18O9,354.0951,2.8,20.4
B08,3.755,Chlorogenic acid isomer III,C16H18O9,354.0951,27.7,4.3
B09,3.758,Vanillin,C8H8O3,152.0473,,0.7
B10,3.841,Feruloylquinic acid isomer I,C17H20O9,368.1107,1.4,32.5
B11,3.874,Vanillic acid/Homogentisic acid,C8H8O4,168.0423,,2.4
B12,3.941,Caffeic acid,C9H8O4,180.0423,10.4,9.3
B13,4.057,4-Hydroxybenzaldehyde,C7H6O2,122.0368,4.9,15.9
B14,4.060,2-4-Dihydroxybenzoic acid,C7H6O4,154.0266,5.2,12.1
B15,4.308,Coumaroylquinic acid isomer II,C16H18O8,338.1002,1.3,7.7
B16,4.696,Feruloylquinic acid isomer II,C17H20O9,368.1107,10.6,
B17,4.802,p-Coumaric acid,C9H8O3,164.0473,19.8,24.1
B18,5.041,Schaftoside,C26H28O14,564.1479,8.4,27.0
B19,5.094,Apigenin-6-8-C-diglucoside,C27H30O15,594.1585,4.4,
B20,5.137,3-4-Dihydroxybenzaldehyde,C7H6O3,138.0317,9.6,7.9
B21,5.190,Methoxyluteolin-8-C-glucoside,C22H22O11,462.1162,20.9,6.1
B22,5.327,Ferulic acid,C10H10O4,194.0579,,15.8
